bathrooms,bedrooms,link,listing_type,location,price,purpose,size_sqm,title,source,price_per_sqm,beds_bin
6.0,3,https://www.bayut.om/en/property/details-130267713.html,Villa,"Al Maabilah, Muscat",90000.0,For Sale,600.0,3 Bedroom Villa For Sale in Al Maabilah Muscat,bayut,150.0,"(2, 3]"
3.0,2,https://www.bayut.om/en/property/details-130247082.html,Apartment,"Al Maabilah, Muscat",37000.0,For Sale,136.0,2 Bedroom Apartment For Sale in Al Maabilah Muscat,bayut,272.05882352941177,"(1, 2]"
5.0,4,https://www.bayut.om/en/property/details-130248154.html,Apartment,"The Wave (Almouj), Muscat",920000.0,For Sale,421.0,4 Bedroom Apartment For Sale in The Wave Almouj Muscat,bayut,2185.2731591448933,"(3, 4]"
2.0,1,https://www.bayut.om/en/property/details-130303882.html,Apartment,"Ghala, Muscat",38000.0,For Sale,68.0,1 Bedroom Apartment For Sale Ghala Muscat,bayut,558.8235294117648,"(0, 1]"
2.0,2,https://www.bayut.om/en/property/details-130291257.html,Apartment,"The Wave (Almouj), Muscat",245000.0,For Sale,126.0,2 Bedroom Apartment For Sale in The Wave Almouj Muscat,bayut,1944.4444444444443,"(1, 2]"
1.0,1,https://www.bayut.om/en/property/details-130303568.html,Apartment,"The Wave (Almouj), Muscat",89000.0,For Sale,104.0,1 Bedroom Apartment For Sale The Wave Almouj Muscat,bayut,855.7692307692307,"(0, 1]"
5.0,5,https://www.bayut.om/en/property/details-130306962.html,Villa,"Bosher, Muscat",240000.0,For Sale,404.0,5 Bedrooms Villa For Sale Bosher Muscat,bayut,594.059405940594,"(4, 6]"
3.0,3,https://www.bayut.om/en/property/details-130300163.html,Villa,"Yiti, Muscat",716000.0,For Sale,166.0,3 Bedrooms Villa For Sale in Al Sifah Muscat,bayut,4313.253012048192,"(2, 3]"
6.0,5,https://www.bayut.om/en/property/details-130270855.html,Villa,"Al Maabilah, Muscat",154900.0,For Sale,400.0,5 Bedrooms Villa For Sale Al Maabilah Muscat,bayut,387.25,"(4, 6]"
6.0,5,https://www.bayut.om/en/property/details-130270861.html,Villa,"Al Maabilah, Muscat",227100.0,For Sale,400.0,5 Bedrooms Villa For Sale Al Maabilah Muscat,bayut,567.75,"(4, 6]"
5.0,5,https://www.bayut.om/en/property/details-130270875.html,Villa,"Al Maabilah, Muscat",203300.0,For Sale,500.0,5 Bedroom Villa For Sale in Al Maabilah Muscat,bayut,406.6,"(4, 6]"
3.0,2,https://www.bayut.om/en/property/details-130261444.html,Apartment,"Muscat Hills, Muscat",85000.0,For Sale,135.0,2 Bedroom Apartment For Sale in Muscat Hills Muscat,bayut,629.6296296296297,"(1, 2]"
2.0,1,https://www.bayut.om/en/property/details-130329678.html,Apartment,"Yiti, Muscat",85034.0,For Sale,85.0,1 Bedroom Apartment For Sale Yiti Muscat,bayut,1000.4,"(0, 1]"
5.0,4,https://www.bayut.om/en/property/details-130328953.html,Villa,"Yiti, Muscat",238000.0,For Sale,256.0,4 Bedroom Villa For Sale in Yiti Muscat,bayut,929.6875,"(3, 4]"
2.0,2,https://www.bayut.om/en/property/details-130257370.html,Apartment,"Muscat - Other, Muscat",155000.0,For Sale,156.0,2 Bedroom Apartment For Sale Muscat Other,bayut,993.5897435897435,"(1, 2]"
3.0,2,https://www.bayut.om/en/property/details-130291151.html,Apartment,"Al Hail, Muscat",69000.0,For Sale,102.0,2 Bedrooms Apartment For Sale Al Hail Muscat,bayut,676.4705882352941,"(1, 2]"
8.0,6,https://www.bayut.om/en/property/details-130298114.html,Villa,"Al Hail, Muscat",210000.0,For Sale,480.0,6 Bedroom Villa For Sale in Al Hail Muscat,bayut,437.5,"(4, 6]"
2.0,1,https://www.bayut.om/en/property/details-130287249.html,Apartment,"Al Seeb, Muscat",26500.0,For Sale,70.0,1 Bedroom Apartment For Sale Al Seeb Muscat,bayut,378.57142857142856,"(0, 1]"
5.0,5,https://www.bayut.om/en/property/details-130266493.html,Villa,"The Wave (Almouj), Muscat",588000.0,For Sale,722.0,5 Bedrooms Villa For Sale in The Wave Almouj Muscat,bayut,814.404432132964,"(4, 6]"
3.0,2,https://www.bayut.om/en/property/details-130328908.html,Apartment,"Al Hail, Muscat",45000.0,For Sale,130.0,2 Bedrooms Apartment For Sale in Al Hail Muscat,bayut,346.15384615384613,"(1, 2]"
4.0,4,https://www.bayut.om/en/property/details-130233566.html,Villa,"The Wave (Almouj), Muscat",205000.0,For Sale,175.0,4 Bedrooms Villa For Sale in The Wave Almouj Muscat,bayut,1171.4285714285713,"(3, 4]"
6.0,4,https://www.bayut.om/en/property/details-130264669.html,Villa,"Al Khoud, Muscat",117000.0,For Sale,328.0,4 Bedrooms Villa For Sale Al Khoud Muscat,bayut,356.7073170731707,"(3, 4]"
4.0,4,https://www.bayut.om/en/property/details-130225728.html,Villa,"Al Sifah, Muscat",335000.0,For Sale,344.0,4 Bedrooms Villa For Sale Al Sifah Muscat,bayut,973.8372093023256,"(3, 4]"
3.0,3,https://www.bayut.om/en/property/details-130271009.html,Apartment,"Al Maabilah, Muscat",36500.0,For Sale,126.0,3 Bedrooms Apartment For Sale Al Maabilah Muscat,bayut,289.6825396825397,"(2, 3]"
3.0,3,https://www.bayut.om/en/property/details-130300155.html,Villa,"Yiti, Muscat",455000.0,For Sale,120.0,3 Bedroom Villa For Sale in Al Sifah Muscat,bayut,3791.6666666666665,"(2, 3]"
6.0,5,https://www.bayut.om/en/property/details-130219535.html,Villa,"Sohar, Al Batinah",48000.0,For Sale,304.0,5 Bedrooms Villa For Sale in Sohar Al Batinah,bayut,157.89473684210526,"(4, 6]"
1.0,1,https://www.bayut.om/en/property/details-130258834.html,Apartment,"Al Duqum, Al Wusta",23000.0,For Sale,35.0,1 Bedroom Apartment For Sale Al Duqum Al Wusta,bayut,657.1428571428571,"(0, 1]"
6.0,4,https://www.bayut.om/en/property/details-130237219.html,Villa,"Al Rustaq, Al Batinah",49000.0,For Sale,293.0,4 Bedrooms Villa For Sale Al Rustaq Al Batinah,bayut,167.23549488054607,"(3, 4]"
6.0,5,https://www.bayut.om/en/property/details-130257089.html,Villa,"Ansab, Muscat",105000.0,For Sale,422.0,5 Bedrooms Villa For Sale Ansab Muscat,bayut,248.81516587677726,"(4, 6]"
